2017-03-06,"39,220","40,220","39,220","40,080","39,184.00","39,022.0038,645.00", , ,"12,234,850"
2017-03-07,"39,800","40,320","39,800","40,200","39,612.00","39,176.0038,677.00", , ,"10,553,250"
2017-03-08,"40,200","40,620","40,140","40,200","39,964.00","39,302.0038,746.00","37,622", ,"12,140,950"
2017-03-09,"40,200","40,300","40,020","40,200","40,060.00","39,392.0038,836.00","37,698", ,"14,372,250"
2017-03-10,"39,960","40,420","39,860","40,180","40,172.00","39,492.0038,925.00","37,784", ,"10,227,800"
2017-03-13,"40,040","40,980","40,040","40,600","40,276.00","39,730.0039,037.00","37,872", ,"7,424,100"
2017-03-14,"40,620","41,540","40,500","41,360","40,508.00","40,060.0039,207.00","37,969", ,"11,325,050"
2017-03-15,"40,800","41,440","40,800","41,400","40,748.00","40,356.0039,398.00","38,073", ,"9,587,850"
2017-03-16,"41,800","42,180","41,540","41,840","41,076.00","40,568.0039,604.00","38,172", ,"9,933,150"
2017-03-17,"41,800","42,500","41,720","42,400","41,520.00","40,846.0039,823.00","38,281", ,"12,602,300"
2017-03-20,"42,000","42,120","41,740","41,900","41,780.00","41,028.0040,025.00","38,375", ,"10,250,050"
2017-03-21,"41,780","42,680","41,760","42,560","42,020.00","41,264.0040,220.00","38,483", ,"14,220,150"
2017-03-22,"41,600","42,460","41,580","42,460","42,232.00","41,490.0040,396.00","38,587", ,"16,427,250"
2017-03-23,"42,200","42,360","41,700","41,800","42,224.00","41,650.0040,521.00","38,690", ,"15,397,100"
2017-03-24,"41,600","41,980","41,080","41,500","42,044.00","41,782.0040,637.00","38,782", ,"12,808,150"
2017-03-27,"41,200","41,880","41,180","41,200","41,904.00","41,842.0040,786.00","38,869", ,"12,177,650"
2017-03-28,"41,560","41,840","41,380","41,480","41,688.00","41,854.0040,957.00","38,965", ,"8,216,250"
2017-03-29,"41,740","41,960","41,580","41,780","41,552.00","41,892.0041,124.00","39,060", ,"10,093,250"
2017-03-30,"41,880","42,440","41,880","41,980","41,588.00","41,906.0041,237.00","39,158", ,"8,204,000"
2017-03-31,"41,820","42,020","41,200","41,200","41,528.00","41,786.0041,316.00","39,237", ,"10,500,300"
2017-04-03,"41,400","41,720","41,300","41,440","41,576.00","41,740.0041,384.00","39,325", ,"9,579,400"
2017-04-04,"41,600","42,180","41,520","42,080","41,696.00","41,692.0041,478.00","39,434", ,"12,255,500"
2017-04-05,"41,900","42,240","41,700","42,140","41,768.00","41,660.0041,575.00","39,533", ,"10,699,700"
2017-04-06,"42,000","42,080","41,600","41,840","41,740.00","41,664.0041,657.00","39,610", ,"9,683,400"
2017-04-07,"41,800","41,820","41,160","41,600","41,820.00","41,674.0041,728.00","39,682", ,"10,021,000"
2017-04-10,"41,940","41,940","41,500","41,940","41,920.00","41,748.0041,795.00","39,743", ,"7,141,350"
2017-04-11,"41,940","41,940","41,580","41,600","41,824.00","41,760.0041,807.00","39,790", ,"7,172,900"
2017-04-12,"41,860","41,940","41,700","41,900","41,776.00","41,772.0041,832.00","39,864", ,"8,274,900"
2017-04-13,"41,660","42,460","41,660","42,420","41,892.00","41,816.0041,861.00","39,960", ,"9,040,800"
2017-04-14,"42,160","42,260","41,760","42,020","41,976.00","41,898.0041,842.00","40,044", ,"5,462,850"
2017-04-17,"42,000","42,080","41,520","41,560","41,900.00","41,910.0041,825.00","40,121", ,"5,224,750"
2017-04-18,"41,680","41,820","41,280","41,500","41,880.00","41,852.0041,772.00","40,188", ,"6,860,650"
2017-04-19,"41,300","41,420","40,900","40,900","41,680.00","41,728.0041,694.00","40,250", ,"11,762,900"
2017-04-20,"40,580","40,800","40,080","40,280","41,252.00","41,572.0041,618.00","40,287", ,"21,148,850"
2017-04-21,"40,480","41,400","40,480","40,760","41,000.00","41,488.0041,581.00","40,330", ,"15,130,500"
2017-04-24,"41,260","41,260","40,920","41,240","40,936.00","41,418.0041,583.00","40,361", ,"8,990,150"
2017-04-25,"41,460","42,740","41,320","42,700","41,176.00","41,528.0041,644.00","40,408", ,"19,299,600"
2017-04-26,"42,700","42,800","42,520","42,800","41,556.00","41,618.0041,695.00","40,463", ,"14,794,800"
2017-04-27,"42,700","44,520","41,960","43,840","42,268.00","41,760.0041,788.00","40,542", ,"23,032,250"
2017-04-28,"45,780","45,800","44,520","44,620","43,040.00","42,020.0041,959.00","40,630", ,"22,685,700"
2017-05-02,"45,500","45,500","44,760","44,900","43,772.00","42,354.0042,132.00","40,720", ,"14,068,300"
2017-05-04,"45,700","45,700","44,860","45,520","44,336.00","42,756.0042,304.00","40,820", ,"13,690,100"
2017-05-08,"45,520","47,020","45,340","47,020","45,180.00","43,368.0042,548.00","40,956", ,"19,582,550"
2017-05-10,"46,160","47,220","45,600","45,600","45,532.00","43,900.0042,736.00","41,076", ,"23,410,950"
2017-05-11,"45,420","46,180","45,220","45,500","45,708.00","44,374.0042,931.00","41,195", ,"21,277,850"
2017-05-12,"45,760","46,160","45,660","45,820","45,892.00","44,832.0043,125.00","41,319", ,"9,422,900"
2017-05-15,"45,620","46,280","45,620","46,100","46,008.00","45,172.0043,350.00","41,455", ,"8,001,400"
2017-05-16,"46,660","46,800","46,100","46,380","45,880.00","45,530.0043,574.00","41,601", ,"8,803,750"
2017-05-17,"46,120","46,640","46,100","46,340","46,028.00","45,780.0043,770.00","41,745", ,"7,424,450"
2017-05-18,"45,740","46,000","45,540","45,940","46,116.00","45,912.0043,966.00","41,877", ,"11,160,350"
2017-05-19,"45,640","45,780","44,720","44,720","45,896.00","45,894.0044,124.00","41,991", ,"15,762,350"
2017-05-22,"45,040","45,380","44,760","45,100","45,696.00","45,852.0044,304.00","42,099", ,"17,643,550"
2017-05-23,"45,400","45,580","44,900","44,920","45,404.00","45,642.0044,505.00","42,198", ,"12,607,050"
2017-05-24,"44,860","45,300","44,800","44,880","45,112.00","45,570.0044,735.00","42,291", ,"8,675,400"
2017-05-25,"45,160","45,680","44,800","45,680","45,060.00","45,588.0044,981.00","42,400", ,"13,044,800"
2017-05-26,"45,600","46,460","45,540","46,080","45,332.00","45,614.0045,223.00","42,531", ,"13,613,650"
2017-05-29,"46,220","46,400","45,380","45,620","45,436.00","45,566.0045,369.00","42,657", ,"8,739,550"
2017-05-30,"45,520","45,660","44,480","44,640","45,380.00","45,392.0045,461.00","42,760", ,"12,433,600"
2017-05-31,"44,580","45,020","44,400","44,700","45,344.00","45,228.0045,504.00","42,843", ,"18,669,100"
2017-06-01,"44,860","44,900","44,400","44,680","45,144.00","45,102.0045,507.00","42,927", ,"9,753,500"
2017-06-02,"45,060","45,960","45,000","45,960","45,120.00","45,226.0045,560.00","43,025", ,"12,488,750"
2017-06-05,"46,040","46,360","45,720","45,940","45,184.00","45,310.0045,581.00","43,121", ,"7,599,400"
2017-06-07,"46,500","46,500","45,240","45,300","45,316.00","45,348.0045,495.00","43,206","40,414","13,729,400"
2017-06-08,"45,000","45,580","45,000","45,160","45,408.00","45,376.0045,473.00","43,289","40,494","13,978,750"
